REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Wyoming,2010,41,X,0.440621,21,27,4766
New York City,2010,41,X,1.4023,1258,41,89710
Alabama,2010,42,X,1.94224,232,33,11945
Alaska,2010,42,X,0.586042,11,7,1877
Arizona,2010,42,X,0.953365,240,52,25174
Arkansas,2010,42,X,0.514217,17,16,3306
California,2010,42,X,2.24173,766,126,34170
Colorado,2010,42,X,0.80402,152,12,18905
Connecticut,2010,42,X,0.374158,15,16,4009
Delaware,2010,42,X,0.337025,14,14,4154
District of Columbia,2010,42,X,2.41042,74,4,3070
Florida,2010,42,X,X,X,X,X
Georgia,2010,42,X,2.01249,793,62,39404
Hawaii,2010,42,X,0.755124,14,19,1854
Idaho,2010,42,X,1.40814,64,11,4545
Illinois,2010,42,X,1.56607,644,76,41122
Indiana,2010,42,X,0.584346,76,45,13006
Iowa,2010,42,X,0.407,10,8,2457
Kansas,2010,42,X,0.47975,43,41,8963
Kentucky,2010,42,X,0.156152,25,14,16010
Louisiana,2010,42,X,2.42974,402,47,16545
Maine,2010,42,X,0.421743,27,30,6402
Maryland,2010,42,X,1.45439,173,20,11895
Massachusetts,2010,42,X,0.744806,209,53,28061
Michigan,2010,42,X,0.524238,81,50,15451
Minnesota,2010,42,X,0.521162,33,17,6332
Mississippi,2010,42,X,2.98141,534,45,17911
Missouri,2010,42,X,0.98989,94,32,9496
Montana,2010,42,X,0.185874,5,7,2690
Nebraska,2010,42,X,3.31103,94,14,2839
Nevada,2010,42,X,1.5086,171,34,11335
New Hampshire,2010,42,X,0.29361,17,29,5790
New Jersey,2010,42,X,2.24812,191,25,8496
New Mexico,2010,42,X,1.67486,126,21,7523
New York,2010,42,X,0.362121,53,95,14636
North Carolina,2010,42,X,0.457107,116,71,25377
North Dakota,2010,42,X,0.567477,32,20,5639
Ohio,2010,42,X,0.52356,84,47,16044
Oklahoma,2010,42,X,2.07039,70,18,3381
Oregon,2010,42,X,0.484848,36,19,7425
Pennsylvania,2010,42,X,0.881081,161,64,18273
Rhode Island,2010,42,X,0.362845,25,21,6890
South Carolina,2010,42,X,0.38943,28,22,7190
South Dakota,2010,42,X,0.791023,43,18,5436
Tennessee,2010,42,X,0.49955,61,50,12211
Texas,2010,42,X,2.10072,1090,98,51887
Utah,2010,42,X,0.440583,36,20,8171
Vermont,2010,42,X,1.48221,45,11,3036
Virginia,2010,42,X,1.22545,758,84,61855
Washington,2010,42,X,0.904393,28,15,3096
West Virginia,2010,42,X,1.52672,134,33,8777
Wisconsin,2010,42,X,1.18822,69,43,5807
Wyoming,2010,42,X,0.441798,23,28,5206
New York City,2010,42,X,1.29124,1175,42,90998
